"filename", "language", "JavaScript", "JSON", "HTTP", "comment", "blank", "total"
"c:\Users\estud\OneDrive\Escritorio\neto-backend\package-lock.json", "JSON", 0, 2645, 0, 0, 1, 2646
"c:\Users\estud\OneDrive\Escritorio\neto-backend\package.json", "JSON", 0, 30, 0, 0, 1, 31
"c:\Users\estud\OneDrive\Escritorio\neto-backend\pruebas.http", "HTTP", 0, 0, 84, 92, 29, 205
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\config\constants.js", "JavaScript", 19, 0, 0, 4, 1, 24
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\config\prompts.js", "JavaScript", 110, 0, 0, 1, 4, 115
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\controllers\chatController.js", "JavaScript", 92, 0, 0, 14, 18, 124
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\controllers\healthController.js", "JavaScript", 28, 0, 0, 2, 9, 39
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\data\corpus-desguace.json", "JSON", 0, 199, 0, 0, 1, 200
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\data\corpus-general.json", "JSON", 0, 85, 0, 0, 1, 86
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\data\diccionarioArticulos.js", "JavaScript", 587, 0, 0, 2, 1, 590
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\data\diccionarioFamilias.js", "JavaScript", 140, 0, 0, 1, 2, 143
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\data\diccionarioMarcas.js", "JavaScript", 68, 0, 0, 1, 2, 71
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\data\diccionarioModelos.js", "JavaScript", 1608, 0, 0, 1, 1, 1610
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\data\diccionarioVersiones.js", "JavaScript", 3573, 0, 0, 0, 1, 3574
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\desguaces-generador\extraerVersiones.js", "JavaScript", 41, 0, 0, 1, 8, 50
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\desguaces-generador\generador.js", "JavaScript", 32, 0, 0, 23, 17, 72
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\index.js", "JavaScript", 33, 0, 0, 6, 10, 49
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\middlewares\auth.js", "JavaScript", 14, 0, 0, 0, 4, 18
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\middlewares\errorHandler.js", "JavaScript", 27, 0, 0, 2, 8, 37
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\middlewares\rateLimiter.js", "JavaScript", 37, 0, 0, 3, 11, 51
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\middlewares\requestLogger.js", "JavaScript", 11, 0, 0, 1, 6, 18
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\repositories\apiRepository.js", "JavaScript", 60, 0, 0, 9, 18, 87
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\routes\chatRoutes.js", "JavaScript", 7, 0, 0, 2, 4, 13
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\services\aiService.js", "JavaScript", 153, 0, 0, 23, 31, 207
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\services\cacheService.js", "JavaScript", 55, 0, 0, 2, 11, 68
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\services\chatService.js", "JavaScript", 141, 0, 0, 21, 27, 189
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\services\intentService.js", "JavaScript", 62, 0, 0, 6, 18, 86
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\testApi.js", "JavaScript", 104, 0, 0, 88, 12, 204
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\testRunPod.js", "JavaScript", 90, 0, 0, 3, 20, 113
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\utils\buscarValidacion.js", "JavaScript", 44, 0, 0, 2, 8, 54
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\utils\cacheKeyGenerator.js", "JavaScript", 24, 0, 0, 0, 9, 33
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\utils\contextHelper.js", "JavaScript", 53, 0, 0, 23, 17, 93
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\utils\contextManager.js", "JavaScript", 56, 0, 0, 7, 18, 81
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\utils\dialogHelper.js", "JavaScript", 39, 0, 0, 12, 12, 63
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\utils\formateadorPiezasReact.js", "JavaScript", 21, 0, 0, 2, 8, 31
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\utils\logger.js", "JavaScript", 12, 0, 0, 0, 3, 15
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\utils\queryBuilder.js", "JavaScript", 97, 0, 0, 11, 22, 130
"c:\Users\estud\OneDrive\Escritorio\neto-backend\src\utils\textNormalizer.js", "JavaScript", 8, 0, 0, 8, 5, 21
"Total", "-", 7446, 2959, 84, 373, 379, 11241
